,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
13827,Eswatini,2014,SWZ,1125872.0,8327527424.0,0.0,0.0,0.769,-0.63,-45.026,1.063,-0.703,-39.834,0.944,0.128,0.185,0.683,0.092,0.134,0.055,0.049,,,,0.0,34.779,151.807,19.462,0.0,0.0,237.281,15.317,,5096.139,0.689,0.0,0.0,0.0,0.0,2.203,2.096,0.293,0.26,1.28,1.137,0.4,0.355,0.714,0.635,,,5.738,0.0,0.002,0.003,0.0,0.0,0.002,0.007,0.003,0.0,0.0,0.033,0.003,,0.0,0.0,0.006,0.006,,0.009,0.0,0.0,0.0,0.0,2.36,2.48,,
13999,Ethiopia,2014,ETH,99746768.0,139096784896.0,2.102,0.021,12.017,2.236,22.856,116.294,16.012,15.967,1.166,0.836,1.671,0.12,0.086,0.173,1.074,0.011,10.576,0.106,0.076,16.4,169.108,4746.506,3.561,0.0,0.0,8335.417,149.147,,697.629,0.5,0.0,0.0,0.0,0.0,1.338,1.665,104.277,1.045,77.78,0.78,43.89,0.44,8.841,0.089,,,69.586,0.14,0.034,0.287,0.007,0.048,0.011,0.217,0.001,0.0,0.0,1.172,0.029,,0.0,0.0,2.12,0.076,,0.456,0.003,0.002,0.007,0.001,166.06,133.5,-1.44,-11.987
14271,Europe,2014,,742190861.0,,112.758,0.152,5604.73,-231.155,-3.961,5474.515,-288.319,-5.003,7.38,0.242,0.183,7.555,0.248,0.187,1724.987,2.325,6131.917,8.266,0.271,8389.056,499061.062,623628.812,275631.5,2257.013,71163.055,136559.922,139861.922,1758.524,40452.855,,69.318,0.093,1725.613,2.326,9.198,7.419,-122.854,-0.166,1111.4,1.497,352.39,0.475,1908.558,2.573,0.086,63.496,30023.74,7.518,15.754,13.519,11.461,24.58,33.642,28.471,39.265,14.445,35.143,19.193,26.812,23.207,17.87,25.931,-2.498,16.342,20.827,22.501,0.054,0.251,0.324,0.018,5506.32,6827.0,527.187,9.406
14443,Europe (GCP),2014,,,,,,5604.73,,,,,,,,,,,,,,6220.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14715,Europe (excl. EU-27),2014,,,,42.168,0.141,2564.537,-94.224,-3.544,2626.352,-156.591,-5.627,8.767,0.342,0.2,8.561,0.333,0.195,708.949,2.367,2473.267,8.256,0.322,2776.907,226555.562,338101.094,120874.461,1646.373,43476.711,120706.227,57080.211,700.896,,,47.057,0.157,1056.115,3.525,,,69.176,0.231,,,,,684.751,2.286,0.085,25.496,,2.811,7.208,6.486,4.71,8.136,15.272,15.436,17.219,10.537,21.47,16.965,10.942,9.25,12.131,15.871,1.407,5.863,8.363,11.458,0.029,0.128,0.165,0.008,,,-91.27,-3.559
14987,Europe (excl. EU-28),2014,,,,37.953,0.162,2125.729,-55.42,-2.541,2186.885,-113.683,-4.942,9.314,0.411,0.201,9.054,0.399,0.195,593.516,2.528,1874.914,7.985,0.352,2283.329,150673.625,264693.031,64306.66,1385.095,37397.906,119599.375,44694.309,606.318,,,42.621,0.182,911.623,3.883,,,68.517,0.292,,,,,518.241,2.207,0.093,21.776,,2.53,5.975,5.4,3.943,6.69,10.157,12.084,9.161,8.865,18.468,16.809,8.568,8.002,10.988,13.699,1.393,4.437,7.143,8.781,0.025,0.095,0.126,0.006,,,-250.815,-11.799
15217,European Union (27),2014,,442278071.0,,70.59,0.16,3040.193,-136.931,-4.31,2848.163,-131.728,-4.421,6.44,0.19,0.169,6.874,0.203,0.181,1016.038,2.297,3658.65,8.272,0.245,5612.148,272505.531,285527.781,154757.031,610.64,27686.344,15853.688,82781.719,1057.628,38052.18,,22.261,0.05,669.498,1.514,7.999,6.699,-192.03,-0.434,380.57,0.86,217.85,0.493,1223.807,2.767,0.086,38.0,16829.645,4.706,8.545,7.033,6.75,16.443,18.37,13.035,22.046,3.908,13.673,2.228,15.87,13.958,5.739,10.061,-3.905,10.479,12.464,11.043,0.025,0.123,0.159,0.01,2962.68,3537.81,618.457,20.343
15389,European Union (27) (GCP),2014,,,,,,3040.194,,,,,,,,,,,,,,3658.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15661,European Union (28),2014,,,,74.805,0.148,3479.0,-175.736,-4.808,3287.63,-174.636,-5.044,6.484,0.19,0.172,6.861,0.201,0.182,1131.471,2.231,4257.002,8.396,0.246,6105.727,348387.469,358935.844,211324.844,871.918,33765.148,16960.545,95167.617,1152.205,,,26.697,0.053,813.99,1.605,,,-191.371,-0.377,,,,,1390.317,2.742,0.082,41.72,,4.987,9.779,8.119,7.517,17.89,23.485,16.387,30.104,5.58,16.675,2.384,18.244,15.206,6.882,12.232,-3.891,11.905,13.684,13.719,0.029,0.156,0.197,0.012,,,778.002,22.363
15833,Falkland Islands,2014,FLK,3356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.005,,,57671.355,,,,,,,,0.11,,,,,,,,,,0.194,,,,,,,,,,,0.003,,,,,0.002,,,,,,,,,,,
16005,Faroe Islands,2014,FRO,48494.0,,0.0,0.0,0.597,-0.051,-7.91,0.671,-0.088,-11.594,13.827,,0.21,12.316,,0.187,0.0,0.0,,,,0.0,26.546,28.121,0.238,0.0,0.0,26.381,26.308,,65730.328,,0.0,0.0,0.0,0.0,,,0.073,1.511,,,,,0.597,12.316,,,3.188,0.0,0.002,0.002,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.004,0.005,,0.0,0.0,0.001,0.005,,0.001,,0.0,0.0,,,,,
16177,Fiji,2014,FJI,915576.0,,0.0,0.0,1.18,0.143,13.781,1.363,0.18,15.17,1.489,,0.189,1.289,,0.163,0.0,0.0,,,,1.267,40.401,92.356,1.886,0.0,0.004,71.228,37.244,,7886.425,,0.0,0.0,0.0,0.0,2.053,-0.721,0.183,0.2,0.37,0.404,0.17,0.186,1.18,1.289,,,7.221,0.0,0.003,0.003,0.0,0.004,0.003,0.004,0.0,0.0,0.0,0.01,0.007,,0.0,0.0,0.004,0.01,,0.009,0.0,0.0,0.0,0.0,-0.66,1.88,,
16349,Finland,2014,FIN,5461436.0,201300410368.0,0.469,0.086,47.596,-4.108,-7.945,62.288,-3.265,-4.981,11.405,0.309,0.189,8.715,0.236,0.144,19.325,3.538,61.643,11.287,0.306,44.621,2926.793,5776.689,1148.206,2.024,211.203,3013.42,1497.177,23.563,60391.238,1.638,0.084,0.015,5.392,0.987,10.587,0.586,14.693,2.69,5.21,0.954,4.98,0.912,21.54,3.944,0.144,0.786,329.823,0.031,0.134,0.154,0.128,0.131,0.197,0.264,0.164,0.013,0.104,0.424,0.287,0.311,0.022,0.081,0.299,0.184,0.258,0.231,0.001,0.002,0.003,0.0,3.2,57.82,14.047,29.512
16563,France,2014,FRA,63588496.0,2424453726208.0,6.767,0.106,327.107,-31.516,-8.788,304.354,-28.695,-8.616,4.786,0.126,0.109,5.144,0.135,0.117,39.271,0.618,436.434,6.863,0.18,655.216,36877.379,31978.992,18848.662,153.319,3066.866,-4577.582,14038.351,114.964,43808.914,1.149,2.958,0.047,76.369,1.201,6.727,5.766,-22.753,-0.358,63.7,1.002,38.54,0.606,197.495,3.106,0.067,4.248,2785.743,0.451,0.919,0.752,0.261,1.92,2.486,1.46,2.685,0.981,1.515,-0.643,2.691,1.517,0.762,1.148,-0.463,1.691,1.394,1.416,0.003,0.015,0.02,0.002,366.68,427.77,109.327,33.422
16743,French Equatorial Africa (Jones et al. 2023),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
17015,French Guiana,2014,GUF,251379.0,,0.0,0.0,0.69,-0.003,-0.423,1.899,-0.369,-16.284,7.553,,,2.744,,,0.0,0.0,,,,0.0,23.337,66.06,0.0,0.0,0.0,42.722,23.337,,0.0,,0.0,0.0,0.0,0.0,,,1.209,4.81,,,,,0.69,2.744,,,0.0,0.0,0.002,0.005,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.006,0.004,,0.0,0.0,0.025,0.006,,,,,,,,,,
17186,French Polynesia,2014,PYF,289880.0,,0.0,0.0,0.85,-0.029,-3.333,,,,,,,2.932,,0.186,0.0,0.0,,,,0.0,24.512,,0.0,0.0,0.0,,24.512,,15747.379,,0.0,0.0,0.0,0.0,,,,,,,,,0.85,2.932,,,4.565,0.0,0.002,,0.0,0.0,0.002,,0.0,0.0,0.0,,0.005,,0.0,0.0,,0.007,,0.001,,0.0,0.0,,,,,
17366,French West Africa (Jones et al. 2023),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
17538,Gabon,2014,GAB,1966858.0,33268465664.0,0.07,0.035,6.369,0.443,7.467,11.939,-2.965,-19.894,6.07,0.359,0.56,3.238,0.191,0.299,0.0,0.0,,,,2.877,231.86,883.722,0.0,123.737,13.853,2146.958,91.394,,10845.483,0.641,2.78,1.413,1.019,0.518,6.838,10.128,5.569,2.832,6.05,3.076,0.59,0.3,2.501,1.271,,,21.332,0.005,0.018,0.029,0.0,0.008,0.016,0.04,0.0,0.792,0.007,0.302,0.018,,0.717,0.015,0.113,0.021,,0.099,0.001,0.001,0.001,0.0,19.92,13.45,,
17710,Gambia,2014,GMB,2189023.0,3357018112.0,0.0,0.0,0.506,0.081,18.966,0.689,-0.066,-8.738,0.315,0.205,0.304,0.231,0.151,0.223,0.0,0.0,,,,0.0,10.721,60.698,0.0,0.0,0.0,117.321,10.721,,1034.743,0.675,0.0,0.0,0.0,0.0,1.0,1.243,0.183,0.084,1.26,0.576,0.34,0.155,0.506,0.231,,,2.265,0.0,0.001,0.002,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.016,0.002,,0.0,0.0,0.004,0.004,,0.007,0.0,0.0,0.0,0.0,2.72,2.19,,
17886,Georgia,2014,GEO,3774232.0,50778370048.0,0.621,0.164,8.939,0.926,11.559,-0.368,1.109,-75.097,-0.097,-0.007,-0.006,2.368,0.176,0.139,1.172,0.311,11.36,3.01,0.224,13.926,598.933,235.574,75.678,2.774,217.056,-311.66,289.499,,17044.346,1.267,0.004,0.001,4.311,1.142,4.459,4.459,-9.307,-2.466,5.81,1.539,2.38,0.631,2.831,0.75,,,64.329,0.041,0.025,-0.001,0.008,0.041,0.04,0.011,0.011,0.018,0.107,-0.044,0.055,,0.001,0.065,-0.189,0.024,,0.036,0.0,0.0,0.001,0.0,16.83,16.83,2.421,27.083
18116,Germany,2014,DEU,81858824.0,3610400784384.0,12.905,0.158,792.255,-38.952,-4.686,779.981,-36.754,-4.5,9.528,0.216,0.21,9.678,0.219,0.214,344.85,4.213,906.227,11.071,0.251,1114.804,88133.297,86803.305,62721.277,78.931,5995.783,-1090.48,17986.623,235.88,45327.562,1.028,2.478,0.03,152.271,1.86,10.252,9.895,-12.274,-0.15,53.57,0.654,37.62,0.46,270.94,3.31,0.108,8.811,3710.461,0.86,2.227,1.926,2.291,3.266,5.941,3.963,8.935,0.505,2.961,-0.153,3.448,3.113,0.639,2.288,-0.25,2.32,2.89,3.123,0.004,0.038,0.045,0.002,809.96,839.19,113.972,14.386
18288,Ghana,2014,GHA,28196356.0,95677579264.0,1.744,0.062,14.975,0.635,4.43,19.812,-1.746,-8.101,0.703,0.207,0.263,0.531,0.157,0.199,0.0,0.0,22.643,0.803,0.237,23.919,275.763,2805.828,4.164,0.447,5.086,3958.366,242.147,,2673.128,0.788,0.221,0.008,1.279,0.045,1.069,2.112,4.836,0.172,9.29,0.329,4.93,0.175,11.732,0.416,,,75.372,0.116,0.042,0.049,0.0,0.07,0.019,0.128,0.001,0.003,0.003,0.556,0.046,,0.057,0.019,0.098,0.1,,0.113,0.0,0.001,0.002,0.0,59.55,30.14,7.668,51.203
18460,Greece,2014,GRC,10862972.0,241776394240.0,3.822,0.352,78.64,-3.074,-3.761,61.089,-1.278,-2.05,5.624,0.253,0.198,7.239,0.325,0.255,35.227,3.243,60.442,5.564,0.25,258.935,3662.086,5226.064,1494.41,0.366,102.99,1944.045,1783.631,21.753,28344.934,1.274,0.004,0.0,5.559,0.512,8.303,8.431,-17.551,-1.616,10.09,0.929,4.67,0.43,33.49,3.083,0.049,0.537,307.91,0.255,0.221,0.151,0.234,0.759,0.247,0.239,0.213,0.002,0.051,0.273,0.342,0.287,0.001,0.084,-0.357,0.287,0.176,0.201,0.001,0.002,0.003,0.0,91.59,90.19,-18.198,-23.141
18632,Greenland,2014,GRL,55972.0,,0.0,0.0,0.521,-0.04,-7.195,0.521,-0.04,-7.195,9.305,,0.154,9.305,,0.154,0.0,0.0,,,,0.0,29.844,29.844,2.175,0.0,0.0,0.0,27.669,,60480.352,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.521,9.305,,,3.385,0.0,0.001,0.001,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.005,,0.0,0.0,0.0,0.004,,0.001,,0.0,0.0,,,,,
18804,Grenada,2014,GRD,117986.0,,0.0,0.0,0.234,-0.07,-22.892,0.125,-0.07,-35.849,1.056,,0.109,1.987,,0.206,0.0,0.0,,,,0.0,6.522,3.884,0.0,0.0,0.0,-0.44,6.522,,9650.67,,0.0,0.0,0.0,0.0,19.155,19.155,-0.11,-0.932,1.99,16.866,0.01,0.085,0.234,1.987,,,1.139,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.001,,0.0,0.0,-0.002,0.002,,0.0,0.0,0.0,0.0,0.0,2.26,2.26,,
19076,Guadeloupe,2014,GLP,400856.0,,0.0,0.0,2.426,-0.01,-0.423,2.865,-1.036,-26.559,7.148,,,6.051,,,0.444,1.107,,,,0.0,69.126,84.771,7.469,0.0,0.0,15.645,61.657,,0.0,,0.0,0.0,0.0,0.0,,,0.44,1.097,,,,,1.982,4.944,,,0.0,0.0,0.007,0.007,0.003,0.0,0.005,0.004,0.001,0.0,0.0,0.002,0.012,,0.0,0.0,0.009,0.017,,,,,,,,,,
19248,Guatemala,2014,GTM,15713744.0,111915376640.0,1.357,0.086,13.827,1.015,7.926,29.289,8.82,43.087,1.864,0.262,0.409,0.88,0.124,0.193,2.799,0.178,11.403,0.726,0.102,26.624,335.474,3101.904,20.151,0.089,0.44,3492.305,288.171,,4562.104,0.641,0.042,0.003,0.0,0.0,1.777,2.269,15.462,0.984,9.2,0.585,4.48,0.285,9.629,0.613,,,71.688,0.09,0.039,0.072,0.019,0.078,0.023,0.142,0.003,0.001,0.0,0.491,0.055,,0.011,0.0,0.314,0.082,,0.155,0.001,0.002,0.002,0.0,35.66,27.93,-2.424,-17.53
19420,Guernsey,2014,GGY,61564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
19692,Guinea,2014,GIN,11333362.0,14874104832.0,0.0,0.0,2.165,0.055,2.604,15.319,-4.891,-24.202,1.352,1.03,1.365,0.191,0.146,0.193,0.0,0.0,2.065,0.182,0.139,0.0,67.004,4741.499,0.0,0.0,0.0,4674.495,67.004,,990.091,0.754,0.0,0.0,0.0,0.0,1.973,2.972,13.154,1.161,13.73,1.211,5.67,0.5,2.165,0.191,,,11.221,0.0,0.006,0.038,0.0,0.0,0.005,0.216,0.0,0.0,0.0,0.657,0.013,,0.0,0.0,0.267,0.019,,0.127,0.0,0.001,0.002,0.0,33.68,22.36,-0.1,-4.636
19864,Guinea-Bissau,2014,GNB,1743318.0,2253617152.0,0.0,0.0,0.26,0.015,5.97,0.553,-0.169,-23.35,0.317,0.246,0.35,0.149,0.115,0.164,0.0,0.0,,,,0.0,8.295,200.216,0.0,0.0,0.0,334.487,8.295,,907.578,0.702,0.0,0.0,0.0,0.0,1.291,2.352,0.293,0.168,1.32,0.757,0.92,0.528,0.26,0.149,,,1.582,0.0,0.001,0.001,0.0,0.0,0.001,0.009,0.0,0.0,0.0,0.047,0.002,,0.0,0.0,0.006,0.002,,0.012,0.0,0.0,0.0,0.0,4.1,2.25,,
20036,Guyana,2014,GUY,751126.0,,0.001,0.001,1.972,0.067,3.503,7.358,2.009,37.549,9.796,,0.879,2.625,,0.236,0.0,0.0,,,,0.001,86.742,690.936,0.033,0.0,0.0,967.333,86.708,,11144.22,,0.0,0.0,0.0,0.0,6.284,28.544,5.386,7.171,1.69,2.25,0.92,1.225,1.971,2.624,,,8.371,0.0,0.006,0.018,0.0,0.0,0.006,0.032,0.0,0.0,0.0,0.136,0.017,,0.0,0.0,0.11,0.017,,0.04,0.0,0.0,0.001,0.0,21.44,4.72,,
20208,Haiti,2014,HTI,10412741.0,17572202496.0,0.078,0.007,2.705,-0.002,-0.06,6.112,-1.394,-18.571,0.587,0.348,0.514,0.26,0.154,0.227,0.0,0.0,,,,3.825,57.891,407.913,0.945,0.0,0.0,887.787,53.121,,1142.445,0.677,0.0,0.0,0.0,0.0,0.934,0.997,3.408,0.327,4.98,0.478,1.53,0.147,2.627,0.252,,,11.896,0.005,0.008,0.015,0.0,0.011,0.004,0.019,0.0,0.0,0.0,0.125,0.01,,0.0,0.0,0.069,0.022,,0.046,0.0,0.0,0.001,0.0,10.38,9.73,,
20480,High-income countries,2014,,1183328941.0,,232.892,0.193,13630.158,-130.894,-0.951,13732.939,-153.696,-1.107,11.383,0.278,0.197,11.298,0.276,0.196,4128.73,3.422,15209.487,12.607,0.308,12978.216,897099.812,1096539.625,429546.531,5805.52,127187.133,208900.984,318591.344,2991.104,58266.621,,136.328,0.113,3594.065,2.979,12.72,12.029,106.512,0.088,1675.1,1.416,697.46,0.589,5436.574,4.506,0.084,101.569,68948.578,15.527,38.311,33.912,27.431,38.026,60.474,50.061,61.19,37.156,62.81,29.36,61.075,39.474,35.145,54.009,2.166,46.551,33.316,41.15,0.099,0.464,0.592,0.029,14233.86,15052.49,1579.33,11.587
20652,Honduras,2014,HND,9127851.0,39484542976.0,0.662,0.073,9.481,0.116,1.242,22.269,4.989,28.876,2.44,0.564,0.49,1.039,0.24,0.209,0.392,0.043,7.316,0.802,0.185,15.607,199.897,1835.177,4.921,0.0,0.0,3031.044,179.368,,4979.008,1.151,0.0,0.0,0.0,0.0,2.266,2.954,12.787,1.401,7.63,0.836,3.07,0.336,8.427,0.923,,,45.448,0.044,0.027,0.055,0.003,0.046,0.013,0.084,0.001,0.0,0.0,0.426,0.034,,0.0,0.0,0.26,0.072,,0.099,0.0,0.001,0.001,0.0,26.96,20.68,-2.165,-22.834
20824,Hong Kong,2014,HKG,7352180.0,334980448256.0,0.725,0.099,45.492,1.185,2.674,45.602,1.148,2.583,6.202,0.136,0.144,6.188,0.136,0.143,30.853,4.196,113.709,15.466,0.339,28.425,1376.188,1388.205,643.591,0.0,87.1,13.374,617.071,,43148.523,0.947,0.0,0.0,4.646,0.632,,,0.11,0.015,,,,,9.267,1.26,,,317.236,0.048,0.128,0.113,0.205,0.083,0.093,0.063,0.092,0.0,0.043,0.002,0.118,,0.0,0.07,0.002,0.079,,0.06,0.0,0.001,0.001,0.0,,,68.217,149.954
21014,Hungary,2014,HUN,9867906.0,217412730880.0,0.566,0.057,43.73,0.118,0.271,34.13,0.448,1.33,3.459,0.157,0.143,4.432,0.201,0.184,10.185,1.032,57.859,5.863,0.266,83.983,4720.942,5416.473,2556.362,11.846,896.887,713.454,1152.183,19.681,24145.828,1.096,0.129,0.013,17.12,1.735,5.629,5.765,-9.6,-0.973,7.32,0.742,5.39,0.546,15.191,1.539,0.055,0.539,238.269,0.038,0.123,0.084,0.068,0.246,0.318,0.247,0.364,0.076,0.443,0.1,0.221,0.26,0.033,0.257,-0.195,0.13,0.177,0.199,0.0,0.002,0.003,0.0,56.89,55.55,14.129,32.31
21286,Iceland,2014,ISL,327650.0,12619691008.0,0.0,0.0,3.436,-0.044,-1.257,3.473,-0.08,-2.262,10.6,0.275,0.059,10.488,0.272,0.059,0.625,1.908,,,,2.751,130.79,296.695,15.14,3.13,0.004,165.906,109.704,0.06,178940.125,4.646,0.183,0.558,0.0,0.0,9.95,9.705,0.037,0.112,0.56,1.709,0.37,1.129,2.625,8.013,0.008,0.003,58.63,0.0,0.01,0.009,0.004,0.008,0.009,0.014,0.002,0.02,0.0,0.023,0.021,0.001,0.047,0.0,0.001,0.022,0.001,0.01,0.0,0.0,0.0,0.0,3.18,3.26,,
21458,India,2014,IND,1307246464.0,6754740994048.0,115.825,0.089,2187.343,149.928,7.359,2311.956,30.334,1.33,1.769,0.342,0.302,1.673,0.324,0.286,1447.355,1.107,1992.493,1.524,0.295,1707.951,39634.336,80547.953,25694.018,160.582,1627.518,43702.289,10444.269,,5857.284,1.134,3.529,0.003,109.467,0.084,2.329,2.283,124.613,0.095,637.04,0.487,250.58,0.192,511.166,0.391,,,7656.914,7.722,6.148,5.709,9.616,5.004,2.672,3.677,3.66,1.028,0.804,6.142,2.002,,0.91,1.645,2.534,4.377,,4.547,0.031,0.028,0.065,0.006,2984.52,3044.96,-194.85,-8.908
21630,Indonesia,2014,IDN,256229760.0,2526852677632.0,25.534,0.1,487.89,-1.165,-0.238,1396.489,214.791,18.176,5.45,0.553,0.753,1.904,0.193,0.263,173.584,0.677,510.337,1.992,0.202,486.667,10782.652,74526.578,2233.318,394.605,1924.617,71988.109,5743.445,,7235.558,0.734,5.763,0.022,62.416,0.244,3.295,7.866,908.599,3.546,391.81,1.529,88.02,0.344,220.593,0.861,,,1853.965,1.702,1.371,3.449,1.153,1.426,0.727,3.402,0.318,2.525,0.95,10.118,1.101,,1.486,0.938,18.476,1.889,,3.295,0.012,0.034,0.047,0.002,2015.5,844.3,22.447,4.601
21801,International transport,2014,,,,,,1117.464,6.41,0.577,,,,,,,,,,,,1117.464,,,,35022.484,,,,,,35022.484,,,,,,,,,,,,,,,,1117.464,,,,,,3.141,,,,2.361,,,,,,6.714,,,,,9.568,,1.096,,0.016,0.016,,,,0.0,0.0
21973,Iran,2014,IRN,79961672.0,1284499832832.0,23.491,0.294,632.673,34.721,5.807,607.172,33.402,5.821,7.593,0.473,0.22,7.912,0.493,0.23,3.591,0.045,546.71,6.837,0.426,393.003,14713.02,16242.665,186.015,1549.822,4622.569,2320.814,7961.61,,34474.914,2.146,22.785,0.285,335.007,4.19,10.557,10.557,-25.501,-0.319,195.19,2.441,35.62,0.445,247.8,3.099,,,2756.672,1.566,1.778,1.499,0.024,1.151,0.992,0.742,0.026,9.919,2.283,0.326,1.526,,5.874,5.034,-0.519,2.122,,1.04,0.007,0.007,0.015,0.001,844.13,844.13,-85.964,-13.587
22145,Iraq,2014,IRQ,36746484.0,459176935424.0,3.143,0.086,166.905,2.054,1.246,177.128,-8.754,-4.71,4.82,0.386,0.376,4.542,0.363,0.354,0.0,0.0,,,,103.466,3443.448,3942.595,0.191,516.455,260.557,661.608,2562.781,,12829.746,1.027,26.512,0.721,12.633,0.344,6.585,6.587,10.223,0.278,99.79,2.716,4.7,0.128,124.617,3.391,,,471.448,0.21,0.469,0.437,0.0,0.303,0.232,0.18,0.0,3.305,0.129,0.093,0.491,,6.835,0.19,0.208,1.067,,0.366,0.003,0.002,0.005,0.0,242.06,241.98,,
22317,Ireland,2014,IRL,4622165.0,244831715328.0,1.461,0.316,36.853,-0.429,-1.15,32.786,-2.297,-6.548,7.093,0.134,0.199,7.973,0.151,0.224,8.647,1.871,47.191,10.21,0.193,60.851,1996.152,1853.549,836.621,0.095,232.949,-292.644,851.817,13.819,35600.855,0.672,0.0,0.0,8.796,1.903,13.312,12.827,-4.067,-0.88,15.62,3.379,9.21,1.993,17.368,3.758,0.126,0.58,164.553,0.097,0.104,0.081,0.057,0.178,0.135,0.085,0.119,0.001,0.115,-0.041,0.163,0.182,0.0,0.132,-0.083,0.149,0.19,0.041,-0.0,0.001,0.001,0.0,59.29,61.53,10.338,28.051
22489,Isle of Man,2014,IMN,83916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.522,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.0,,,,,,,,,,,
22661,Israel,2014,ISR,7863849.0,244088406016.0,2.292,0.291,60.282,-2.813,-4.458,60.356,-3.399,-5.332,7.675,0.247,0.231,7.666,0.247,0.231,25.305,3.218,81.923,10.418,0.336,73.169,2017.229,2055.701,668.272,0.001,81.672,41.586,1194.116,,33226.094,1.07,0.0,0.0,12.473,1.586,10.846,10.839,0.073,0.009,8.74,1.111,2.47,0.314,20.212,2.57,,,261.285,0.153,0.169,0.149,0.168,0.214,0.136,0.094,0.095,0.0,0.04,0.006,0.229,,0.0,0.187,0.001,0.173,,0.096,0.0,0.001,0.001,0.0,85.24,85.29,21.641,35.899
22833,Italy,2014,ITA,60322792.0,1996478611456.0,8.339,0.138,349.39,-20.289,-5.488,301.209,-21.095,-6.545,4.993,0.151,0.171,5.792,0.175,0.198,55.837,0.926,474.485,7.866,0.238,895.742,22673.891,22464.934,4474.362,79.525,4503.366,59.21,12599.541,121.356,29214.832,0.883,2.501,0.041,121.589,2.016,6.674,6.099,-48.182,-0.799,44.08,0.731,16.2,0.269,157.836,2.617,0.055,3.288,1762.32,0.556,0.982,0.744,0.371,2.624,1.528,1.026,0.637,0.509,2.224,0.008,2.415,1.602,0.645,1.827,-0.98,1.351,1.078,0.932,0.002,0.01,0.013,0.001,367.92,402.58,125.095,35.804
23005,Jamaica,2014,JAM,2784542.0,18759622656.0,0.413,0.148,7.697,-0.795,-9.359,9.09,-1.711,-15.84,3.264,0.485,0.26,2.764,0.41,0.221,0.275,0.099,6.043,2.17,0.322,12.271,405.386,574.699,4.546,0.0,0.0,350.132,388.569,,12533.961,1.86,0.0,0.0,0.0,0.0,3.124,3.211,1.392,0.5,0.83,0.298,0.45,0.162,7.009,2.517,,,34.901,0.028,0.022,0.022,0.002,0.036,0.027,0.026,0.001,0.0,0.0,0.049,0.074,,0.0,0.0,0.028,0.06,,0.026,0.0,0.0,0.0,0.0,8.94,8.7,-1.655,-21.495
